title,artist,release_date,cover_art
the record,boygenius,2023-03-31,cover_art/the_record_boygenius.jpg
"Desire, I Want To Turn Into You",Caroline Polachek,2023-02-14,cover_art/Desire_I_Want_To_Turn_Into_You_Caroline_Polachek.jpg
Did you know that there's a tunnel under Ocean Blvd,Lana Del Rey,2023-03-24,cover_art/Did_you_know_that_there's_a_tunnel_under_Ocean_Blvd_Lana_Del_Rey.jpg
Javelin,Sufjan Stevens,2023-10-06,cover_art/Javelin_Sufjan_Stevens.jpg
GUTS,Olivia Rodrigo,2023-09-08,cover_art/GUTS_Olivia_Rodrigo.jpg
The Land Is Inhospitable and So Are We,Mitski,2023-09-15,cover_art/The_Land_Is_Inhospitable_and_So_Are_We_Mitski.jpg
Rat Saw God,Wednesday,2023-04-07,cover_art/Rat_Saw_God_Wednesday.jpg
Maps,billy woods,2023-05-05,cover_art/Maps_billy_woods.jpg
False Lankum,Lankum,2023-03-24,cover_art/False_Lankum_Lankum.jpg
SCARING THE HOES,JPEGMAFIA,2023-03-24,cover_art/SCARING_THE_HOES_JPEGMAFIA.jpg
Heavy Heavy,Young Fathers,2023-02-03,cover_art/Heavy_Heavy_Young_Fathers.jpg
My Back Was A Bridge For You To Cross,ANOHNI,2023-07-06,cover_art/My_Back_Was_A_Bridge_For_You_To_Cross_ANOHNI.jpg
Raven,Kelela,2023-02-10,cover_art/Raven_Kelela.jpg
I Inside the Old Year Dying,PJ Harvey,2023-07-07,cover_art/I_Inside_the_Old_Year_Dying_PJ_Harvey.jpg
This Is Why,Paramore,2023-02-10,cover_art/This_Is_Why_Paramore.jpg
That! Feels Good!,Jessie Ware,2023-04-28,cover_art/That!_Feels_Good!_Jessie_Ware.jpg
The Ballad of Darren,Blur,2023-07-21,cover_art/The_Ballad_of_Darren_Blur.jpg
SOS,SZA,2022-12-09,cover_art/SOS_SZA.jpg
Fountain Baby,Amaarae,2023-06-09,cover_art/Fountain_Baby_Amaarae.jpg
"10,000 gecs",100 gecs,2023-03-17,cover_art/10000_gecs_100_gecs.jpg
everything is alive,Slowdive,2023-09-01,cover_art/everything_is_alive_Slowdive.jpg
Sundial,Noname,2023-08-11,cover_art/Sundial_Noname.jpg
Lahai,Sampha,2023-10-20,cover_art/Lahai_Sampha.jpg
