title,artist,release_date,cover_art
BRAT,Charli xcx,2024-06-07,cover_art/BRAT_Charli_xcx.jpg
Romance,Fontaines D.C.,2024-08-23,cover_art/Romance_Fontaines_D.C..jpg
Songs Of A Lost World,The Cure,2024-11-01,cover_art/Songs_Of_A_Lost_World_The_Cure.jpg
Manning Fireworks,MJ Lenderman,2024-09-06,cover_art/Manning_Fireworks_MJ_Lenderman.jpg
COWBOY CARTER,Beyoncé,2024-03-29,cover_art/COWBOY_CARTER_Beyoncé.jpg
HIT ME HARD AND SOFT,Billie Eilish,2024-05-17,cover_art/HIT_ME_HARD_AND_SOFT_Billie_Eilish.jpg
Diamond Jubilee,Cindy Lee,2024-03-24,cover_art/Diamond_Jubilee_Cindy_Lee.jpg
Tigers Blood,Waxahatchee,2024-03-22,cover_art/Tigers_Blood_Waxahatchee.jpg
GNX,Kendrick Lamar,2024-11-22,cover_art/GNX_Kendrick_Lamar.jpg
CHROMAKOPIA,"Tyler, The Creator",2024-10-28,cover_art/CHROMAKOPIA_Tyler_The_Creator.jpg
Here in the Pitch,Jessica Pratt,2024-05-03,cover_art/Here_in_the_Pitch_Jessica_Pratt.jpg
Short n' Sweet,Sabrina Carpenter,2024-08-23,cover_art/Short_n'_Sweet_Sabrina_Carpenter.jpg
I Got Heaven,Mannequin Pussy,2024-03-01,cover_art/I_Got_Heaven_Mannequin_Pussy.jpg
The Collective,Kim Gordon,2024-03-08,cover_art/The_Collective_Kim_Gordon.jpg
Two Star & The Dream Police,Mk.gee,2024-02-09,cover_art/Two_Star_&_The_Dream_Police_Mk.gee.jpg
Bright Future,Adrianne Lenker,2024-03-22,cover_art/Bright_Future_Adrianne_Lenker.jpg
Charm,Clairo,2024-07-12,cover_art/Charm_Clairo.jpg
This Could Be Texas,English Teacher,2024-04-12,cover_art/This_Could_Be_Texas_English_Teacher.jpg
Imaginal Disk,Magdalena Bay,2024-08-23,cover_art/Imaginal_Disk_Magdalena_Bay.jpg
Wild God,Nick Cave & The Bad Seeds,2024-08-30,cover_art/Wild_God_Nick_Cave_&_The_Bad_Seeds.jpg
Prelude to Ecstasy,The Last Dinner Party,2024-02-02,cover_art/Prelude_to_Ecstasy_The_Last_Dinner_Party.jpg
Alligator Bites Never Heal,Doechii,2024-08-30,cover_art/Alligator_Bites_Never_Heal_Doechii.jpg
Only God Was Above Us,Vampire Weekend,2024-04-05,cover_art/Only_God_Was_Above_Us_Vampire_Weekend.jpg
Lives Outgrown,Beth Gibbons,2024-05-17,cover_art/Lives_Outgrown_Beth_Gibbons.jpg
No Name,Jack White,2024-08-02,cover_art/No_Name_Jack_White.jpg
Endlessness,Nala Sinephro,2024-09-06,cover_art/Endlessness_Nala_Sinephro.jpg
My Method Actor,Nilüfer Yanya,2024-09-13,cover_art/My_Method_Actor_Nilüfer_Yanya.jpg
Mahashmashana,Father John Misty,2024-11-22,cover_art/Mahashmashana_Father_John_Misty.jpg
Absolute Elsewhere,Blood Incantation,2024-10-04,cover_art/Absolute_Elsewhere_Blood_Incantation.jpg
In Waves,Jamie xx,2024-09-20,cover_art/In_Waves_Jamie_xx.jpg
