album_title,track_title,track_number
BRAT,360,1
BRAT,Club classics,2
BRAT,Sympathy is a knife,3
BRAT,I might say something stupid,4
BRAT,Talk talk,5
BRAT,Von dutch,6
BRAT,Everything is romantic,7
BRAT,Rewind,8
BRAT,So I,9
BRAT,"Girl, so confusing",10
BRAT,Apple,11
BRAT,B2b,12
BRAT,Mean girls,13
BRAT,I think about it all the time,14
BRAT,365,15
Romance,Romance,1
Romance,Starburster,2
Romance,Here's The Thing,3
Romance,Desire,4
Romance,In The Modern World,5
Romance,Bug,6
Romance,Motorcycle Boy,7
Romance,Sundowner,8
Romance,Horseness Is The Whatness,9
Romance,Death Kink,10
Romance,Favourite,11
Songs Of A Lost World,Alone,1
Songs Of A Lost World,And Nothing Is Forever,2
Songs Of A Lost World,A Fragile Thing,3
Songs Of A Lost World,Warsong,4
Songs Of A Lost World,Drone:Nodrone,5
Songs Of A Lost World,I Can Never Say Goodbye,6
Songs Of A Lost World,All I Ever Am,7
Songs Of A Lost World,Endsong,8
Manning Fireworks,Manning Fireworks,1
Manning Fireworks,Joker Lips,2
Manning Fireworks,Rudolph,3
Manning Fireworks,Wristwatch,4
Manning Fireworks,She's Leaving You,5
Manning Fireworks,Rip Torn,6
Manning Fireworks,You Don't Know The Shape I'm In,7
Manning Fireworks,On My Knees,8
Manning Fireworks,Bark At The Moon,9
COWBOY CARTER,AMERIICAN REQUIEM,1
COWBOY CARTER,BLACKBIIRD,2
COWBOY CARTER,16 CARRIAGES,3
COWBOY CARTER,PROTECTOR,4
COWBOY CARTER,MY ROSE,5
COWBOY CARTER,SMOKE HOUR ★ WILLIE NELSON,6
COWBOY CARTER,TEXAS HOLD 'EM,7
COWBOY CARTER,BODYGUARD,8
COWBOY CARTER,DOLLY P,9
COWBOY CARTER,JOLENE,10
COWBOY CARTER,DAUGHTER,11
COWBOY CARTER,SPAGHETTII,12
COWBOY CARTER,ALLIIGATOR TEARS,13
COWBOY CARTER,SMOKE HOUR II,14
COWBOY CARTER,JUST FOR FUN,15
COWBOY CARTER,II MOST WANTED,16
COWBOY CARTER,LEVII'S JEANS,17
COWBOY CARTER,FLAMENCO,18
COWBOY CARTER,THE LINDA MARTELL SHOW,19
COWBOY CARTER,YA YA,20
COWBOY CARTER,OH LOUISIANA,21
COWBOY CARTER,DESERT EAGLE,22
COWBOY CARTER,RIIVERDANCE,23
COWBOY CARTER,II HANDS II HEAVEN,24
COWBOY CARTER,TYRANT,25
COWBOY CARTER,SWEET ★ HONEY ★ BUCKIIN',26
COWBOY CARTER,AMEN,27
HIT ME HARD AND SOFT,SKINNY,1
HIT ME HARD AND SOFT,LUNCH,2
HIT ME HARD AND SOFT,CHIHIRO,3
HIT ME HARD AND SOFT,BIRDS OF A FEATHER,4
HIT ME HARD AND SOFT,WILDFLOWER,5
HIT ME HARD AND SOFT,THE GREATEST,6
HIT ME HARD AND SOFT,L’AMOUR DE MA VIE,7
HIT ME HARD AND SOFT,THE DINER,8
HIT ME HARD AND SOFT,BITTERSUITE,9
HIT ME HARD AND SOFT,BLUE,10
Diamond Jubilee,Diamond Jubilee,1
Diamond Jubilee,Glitz,2
Diamond Jubilee,Baby Blue,3
Diamond Jubilee,Dreams Of You,4
Diamond Jubilee,All I Want Is You,5
Diamond Jubilee,Dallas,6
Diamond Jubilee,Olive Drab,7
Diamond Jubilee,Always Dreaming,8
Diamond Jubilee,Wild One,9
Diamond Jubilee,Flesh And Blood,10
Diamond Jubilee,Le Machiniste Fantome,11
Diamond Jubilee,Kingdom Come,12
Diamond Jubilee,Demon Bitch,13
Diamond Jubilee,I Have My Doubts,14
Diamond Jubilee,Til Polarity's End,15
Diamond Jubilee,Realistik Heaven,16
Diamond Jubilee,Stone Faces,17
Diamond Jubilee,GAYBLEVISION,18
Diamond Jubilee,Dracula,19
Diamond Jubilee,Lockstepp,20
Diamond Jubilee,Government Cheque,21
Diamond Jubilee,Deepest Blue,22
Diamond Jubilee,To Heal This Wounded Heart,23
Diamond Jubilee,Golden Microphone,24
Diamond Jubilee,If You Hear Me Crying,25
Diamond Jubilee,Darling Of The Diskoteque,26
Diamond Jubilee,Don't Tell Me I'm Wrong,27
Diamond Jubilee,What's It Going To Take,28
Diamond Jubilee,Wild Rose,29
Diamond Jubilee,Durham City Limit,30
Diamond Jubilee,Crime Of Passion,31
Diamond Jubilee,24/7 Heaven,32
Tigers Blood,3 Sisters,1
Tigers Blood,Evil Spawn,2
Tigers Blood,Ice Cold,3
Tigers Blood,Right Back to It,4
Tigers Blood,Burns Out at Midnight,5
Tigers Blood,Bored,6
Tigers Blood,Lone Star Lake,7
Tigers Blood,Crimes of the Heart,8
Tigers Blood,Crowbar,9
Tigers Blood,365,10
Tigers Blood,The Wolves,11
Tigers Blood,Tigers Blood,12
GNX,wacced out murals,1
GNX,squabble up,2
GNX,luther (with sza),3
GNX,man at the garden,4
GNX,hey now (feat. dody6),5
GNX,reincarnated,6
GNX,tv off (feat. lefty gunplay),7
GNX,"dodger blue (feat. wallie the sensei, siete7x, roddy ricch)",8
GNX,peekaboo (feat. azchike),9
GNX,heart pt. 6,10
GNX,"gnx (feat. hitta j3, youngthreat, peysoh)",11
GNX,gloria (with sza),12
CHROMAKOPIA,St. Chroma (feat. Daniel Caesar),1
CHROMAKOPIA,Rah Tah Tah,2
CHROMAKOPIA,Noid,3
CHROMAKOPIA,"Darling, I (feat. Teezo Touchdown)",4
CHROMAKOPIA,Hey Jane,5
CHROMAKOPIA,I Killed You,6
CHROMAKOPIA,Judge Judy,7
CHROMAKOPIA,"Sticky (feat. GloRilla, Sexyy Red & Lil Wayne)",8
CHROMAKOPIA,Take Your Mask Off (feat. Daniel Caesar & LaToiya Williams),9
CHROMAKOPIA,Tomorrow,10
CHROMAKOPIA,Thought I Was Dead (feat. ScHoolboy Q & Santigold),11
CHROMAKOPIA,Like Him (feat. Lola Young),12
CHROMAKOPIA,Balloon (feat. Doechii),13
CHROMAKOPIA,I Hope You Find Your Way Home,14
Here in the Pitch,Life Is,1
Here in the Pitch,Better Hate,2
Here in the Pitch,World on a String,3
Here in the Pitch,Get Your Head Out,4
Here in the Pitch,By Hook or by Crook,5
Here in the Pitch,Nowhere It Was,6
Here in the Pitch,Empires Never Know,7
Here in the Pitch,Glances,8
Here in the Pitch,The Last Year,9
Short n' Sweet,Taste,1
Short n' Sweet,Please Please Please,2
Short n' Sweet,Good Graces,3
Short n' Sweet,Sharpest Tool,4
Short n' Sweet,Coincidence,5
Short n' Sweet,Bed Chem,6
Short n' Sweet,Espresso,7
Short n' Sweet,Dumb & Poetic,8
Short n' Sweet,Slim Pickins,9
Short n' Sweet,Juno,10
Short n' Sweet,Lie To Girls,11
Short n' Sweet,Don’t Smile,12
I Got Heaven,I Got Heaven,1
I Got Heaven,Loud Bark,2
I Got Heaven,Nothing Like,3
I Got Heaven,I Don't Know You,4
I Got Heaven,Sometimes,5
I Got Heaven,OK? OK! OK? OK!,6
I Got Heaven,Softly,7
I Got Heaven,Of Her,8
I Got Heaven,Aching,9
I Got Heaven,Split Me Open,10
The Collective,BYE BYE,1
The Collective,The Candy House,2
The Collective,I Don't Miss My Mind,3
The Collective,I'm A Man,4
The Collective,Trophies,5
The Collective,It's Dark Inside,6
The Collective,Psychedelic Orgasm,7
The Collective,Tree House,8
The Collective,Shelf Warmer,9
The Collective,The Believers,10
The Collective,Dream Dollar,11
Two Star & The Dream Police,New Low,1
Two Star & The Dream Police,How many miles,2
Two Star & The Dream Police,Are You Looking Up,3
Two Star & The Dream Police,DNM,4
Two Star & The Dream Police,You got it,5
Two Star & The Dream Police,Rylee & I,6
Two Star & The Dream Police,Candy,7
Two Star & The Dream Police,I Want,8
Two Star & The Dream Police,Alesis,9
Two Star & The Dream Police,Breakthespell,10
Two Star & The Dream Police,Little Bit More,11
Two Star & The Dream Police,Dream police,12
Bright Future,Real House,1
Bright Future,Sadness As A Gift,2
Bright Future,Fool,3
Bright Future,No Machine,4
Bright Future,Free Treasure,5
Bright Future,Vampire Empire,6
Bright Future,Evol,7
Bright Future,Candleflame,8
Bright Future,Already Lost,9
Bright Future,Cell Phone Says,10
Bright Future,Donut Seam,11
Bright Future,Ruined,12
Charm,Nomad,1
Charm,Sexy to Someone,2
Charm,Second Nature,3
Charm,Slow Dance,4
Charm,Thank You,5
Charm,Terrapin,6
Charm,Juna,7
Charm,Add Up My Love,8
